year,nation,title,text,
intro,,,"For much of the twentieth century, the FIFA World Cup was one of the only opportunities fans had to see the world’s greatest footballers play, because those players rarely left home — Pelé in Brazil, Eusébio in Portugal, Beckenbauer in Germany. The modern global transfer market barely existed as stars of the era played domestically, rarely playing in other countries except to represent their country's teams in international play.

That changed as football grew more commercialized, and as cross-border player transfers became routine. A generation of African stars followed the same path: George Weah became the world’s best player at Paris Saint-Germain and AC Milan; Didier Drogba was the face of Chelsea; Samuel Eto’o starred for Barcelona and Inter Milan. Returning home to represent their national teams at World Cups, these players brought global recognition, though their wages and league affiliations belonged somewhere else.

First, a quick primer for those less familiar with the sport: every team in the World Cup brings 26 players (22 or 23 in previous years) to the tournament, with 11 playing on the pitch at any given moment. the stars of global soccer often play for two teams simultaneously; they represent their country’s national team in international competitions like the World Cup, but they spend most of the year with, and make most of their salaries from, club teams that could be based in their home country or anywhere else — clubs like Arsenal in the English Premier League, Barcelona in Spain's La Liga, Orlando Pirates in South Africa's Premier Soccer League and so on.

The globalization of the sport in recent years has meant that African players have become the sport’s most globally distributed talent — sought by clubs worldwide — yet the leagues and clubs that develop them have remained largely invisible at the sport’s biggest stage. In 2022, African nations filled 16% of the World Cup field, the same share as South America. But, with 32 nations and 26 players on each nation's squad, just 2% of all those players at the tournament came from African-based clubs.[1]",
1994,,,"At the 1994 World Cup — the last time the tournament was played in the United States, and just one year before the Bosman ruling would reshape player movement across European leagues — the world's national squads were broadly self-contained. CONCACAF sides drew 80% of players from domestic leagues; Asian confederations, nearly 96%. Even South America still fielded sides where 62% of players earned wages at home.",
1994,Nigeria,"Nigeria, 1994","Nigeria arrived at USA '94 without a single player from what was then called the Nigeria Premier League; all 22 of their players in that tournament earned wages in Europe, illustrating how little the Super Eagles’ identity was tied to the domestic league.",
1998,Tunisia,"Tunisia, 1998","Four years later, Tunisia offered a counter-example. Eighteen of their 23 players were at domestic clubs — the highest retention rate any African side would ever record in the modern day at a World Cup.",
2010,South Africa,"South Africa, 2010","South Africa in 2010 were the hosts, and their squad showed it. Sixteen of 23 players came from the South African Premiership — the only time a CAF side has been majority-domestic in the 21st century. State investment, local pride, and hosting rights conspired to produce something anomalous.",
2010,Nigeria,"Nigeria, 2010","Nigeria were at the same tournament, again with zero players from the Nigeria Premier League; their flows point entirely to Europe. Similarly, Cameroon and Cote d’Ivoire competed with just one player apiece who represented the top flight in their respective home countries.",
2014,Brazil,"Brazil, 2014","By 2014, the export of African talent to European leagues was effectively total. While the CONMEBOL nations of South America have shown similar patterns of exporting many of the world’s best footballing talent overseas, continental powers like Atletico Minero in Brazil, Boca Juniors in Argentina, and Universidad de Chile at least saw some of their active current players on the pitch at the Brazil-hosted tournament.",
2014,Ghana,"Ghana, 2014","Meanwhile, the CAF domestic rate fell below 10% for the first time. Ghana and Cote d’Ivoire each only had one player from a domestic club, while Algeria and Cameroon only had two apiece.",
2022,,Africa at Qatar 2022,"At the 2022 World Cup in Qatar, nine African nations made history as CAF’s largest-ever contingent at a men’s tournament. Together they told a familiar story. Senegal called in all 26 players from European clubs — not one came from the domestic Senegalese league. Ghana had 23 of 26 playing abroad. Of all nine African sides, Tunisia fielded the highest proportion of domestic players, yet the majority of their squad still came from clubs overseas. What differed this time wasn’t the pattern. It was what the pattern produced.",
2022,Morocco,"Morocco, 2022",Morocco reached the World Cup semifinal in 2022 — the best result by an African team in history. Three of their 26 players were at domestic clubs. The rest played in Europe or the Gulf.,
outro,,,"While the traditional powers of club football are always well-represented, relatively lesser-known clubs like Paris Saint-Germain, Saprissa and Inter Miami have seen their brands grow around the world thanks to their players starring for national teams in the World Cup. The 2026 World Cup has expanded its field from 32 to 48 nations — an expansion that makes room for twice as many African sides as in 2022 — and indeed, this has seemingly made for more opportunities for African soccer at large, with the number of squad players coming from African clubs having doubled since 2022, as well. Time will tell if this trend continues.",
